geo_code1,geo_code2,car,foot,bicycle,all,dist_euclidean,public_transport,taxi
S01008427,S01008992,0,0,19,57,34583,0,0
S01008439,S01008660,30,0,31,0,34668,80,1
S01008440,S01008660,20,110,0,88,0,13,0
S01008455,S01008993,7,0,4,146,0,31,0
S01008456,S01008506,35,0,19,0,17671,8,1
S01008456,S01008997,0,0,0,0,20714,0,0
S01008460,S01008684,0,34,32,4,0,83,0
S01008462,S01008650,0,27,28,0,0,0,0
S01008480,S01008992,10,0,11,89,18189,8,0
S01008489,S01008992,55,52,76,0,0,0,1
S01008490,S01008425,54,0,8,168,0,97,1
S01008490,S01008890,38,35,0,0,0,0,1
S01008495,S01008677,0,0,0,174,0,0,0
S01008503,S01008975,60,21,0,0,0,17,1
S01008504,S01008660,0,20,0,156,7540,78,0
S01008504,S01008677,0,0,0,0,0,54,0
S01008504,S01008868,0,52,0,0,0,0,0
S01008505,S01008677,0,0,4,0,0,0,0
S01008506,S01008677,0,156,0,180,21106,16,0
S01008507,S01008768,0,55,14,244,0,165,0
S01008509,S01008425,87,0,47,194,33140,29,2
S01008509,S01008660,0,35,54,0,7941,107,0
S01008513,S01008660,0,31,0,236,0,0,0
S01008514,S01008659,0,0,2,0,45446,0,0
S01008515,S01008659,53,113,0,28,0,0,1
S01008515,S01008679,0,0,0,38,5383,0,0
S01008515,S01008857,0,0,0,28,50372,0,0
S01008518,S01008660,0,0,0,39,21275,0,0
S01008518,S01008673,0,10,0,0,0,0,0
S01008518,S01008868,0,54,0,16,23945,77,0
S01008519,S01008679,0,0,5,61,0,114,0
S01008520,S01008868,0,3,0,60,0,0,0
S01008528,S01008659,0,28,0,39,30529,92,0
S01008530,S01008624,95,0,0,0,40647,0,2
S01008540,S01008660,0,7,48,60,61430,100,0
S01008590,S01008992,67,49,40,337,0,0,1
S01008591,S01008673,0,0,0,64,4174,0,0
S01008592,S01008849,42,0,0,40,1959,63,1
S01008594,S01008992,23,23,0,0,5369,123,0
S01008597,S01008677,35,0,0,293,0,40,1
S01008599,S01008673,0,0,0,0,0,0,0
S01008599,S01008704,76,0,0,100,0,63,2
S01008600,S01008660,49,29,0,113,18802,38,1
S01008601,S01008587,144,68,0,0,0,68,3
S01008602,S01008587,230,0,0,46,0,0,5
S01008603,S01008587,82,0,78,0,0,108,2
S01008603,S01008868,0,0,0,49,47152,121,0
S01008604,S01008587,62,0,57,0,1421,0,1
S01008605,S01008673,4,3,0,0,13513,0,0
S01008605,S01008704,92,85,0,250,36936,36,2
S01008605,S01008868,9,0,0,225,24100,152,0
S01008606,S01008673,30,108,0,273,0,0,1
S01008606,S01008890,0,0,0,40,21501,0,0
S01008607,S01008872,7,24,0,83,0,10,0
S01008608,S01008677,0,0,6,66,29156,50,0
S01008608,S01008868,0,0,0,0,0,0,0
S01008611,S01008587,130,136,0,0,2039,85,3
S01008611,S01008676,45,57,53,125,11345,35,1
S01008613,S01008675,135,0,0,0,11376,100,3
S01008613,S01008677,22,9,39,8,25015,0,0
S01008613,S01008890,86,96,21,0,0,0,2
S01008614,S01008704,98,140,12,3,33225,55,2
S01008615,S01008587,5,74,10,141,34498,0,0
S01008615,S01008677,119,0,21,1,36251,91,2
S01008617,S01008868,0,71,34,0,0,128,0
S01008620,S01008704,0,19,0,171,28491,0,0
S01008620,S01013298,121,0,0,64,28803,124,2
S01008622,S01008849,95,0,0,0,0,38,2
S01008626,S01008587,46,8,0,0,34385,8,1
S01008628,S01008679,12,0,0,63,0,65,0
S01008629,S01008587,0,0,12,279,28613,0,0
S01008631,S01008587,38,42,0,0,40680,0,1
S01008632,S01008685,11,0,0,0,0,0,0
S01008636,S01008673,0,31,58,261,25932,45,0
S01008640,S01008587,44,12,0,124,6422,3,1
S01008651,S01008587,53,0,0,338,11606,72,1
S01008658,S01008587,64,94,0,281,2989,214,1
S01008664,S01008587,0,33,70,303,18625,0,0
S01008666,S01008587,0,49,0,0,0,58,0
S01008675,S01008587,0,52,46,66,0,8,0
S01008680,S01008587,12,11,0,112,19714,131,0
S01008681,S01008587,0,31,0,145,9919,34,0
S01008694,S01008868,24,19,0,51,0,10,0
S01008730,S01008768,135,0,31,42,0,92,3
S01008763,S01008667,0,0,0,130,19320,0,0
S01008766,S01008911,142,229,88,144,0,0,3
S01008788,S01008677,71,11,0,240,19125,102,1
S01008797,S01008890,0,88,40,122,29496,0,0
S01008798,S01008890,0,5,20,0,5585,2,0
S01008827,S01008660,0,0,0,98,14085,36,0
S01008833,S01008864,0,107,14,135,32491,64,0
S01008851,S01008768,0,0,0,181,1896,0,0
S01008874,S01008992,0,20,0,202,0,0,0
S01008878,S01008911,13,0,25,0,67526,90,0
S01008906,S01008745,0,0,28,223,0,46,0
S01008968,S01008911,53,0,30,112,48259,42,1
