geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other,dist_euclidean,dist_bands
S02001576,S02001576,151,0,0,6,61,7,5,70,2,0,"[0,1] km"
S02001576,S02001577,132,0,0,11,84,10,11,15,1,2399.8586349932266,"(1,3] km"
S02001576,S02001578,40,0,0,5,32,2,0,1,0,3429.4735545859326,"(3,6] km"
S02001576,S02001579,17,0,0,4,13,0,0,0,0,4683.610554956018,"(3,6] km"
S02001576,S02001581,11,0,1,2,8,0,0,0,0,6603.5089918694875,"(6,10] km"
S02001576,S02001584,24,0,0,1,21,1,0,0,1,5911.938847009429,"(3,6] km"
S02001576,S02001586,58,0,0,10,39,2,6,0,1,6470.79641204256,"(6,10] km"
S02001576,S02001588,10,0,0,1,9,0,0,0,0,7054.257076183877,"(6,10] km"
S02001576,S02001589,24,0,0,5,16,0,2,0,1,8550.861490202442,"(6,10] km"
S02001576,S02001591,10,0,0,1,7,2,0,0,0,9987.65204906857,"(6,10] km"
S02001576,S02001593,21,0,0,5,14,1,1,0,0,7908.661369848343,"(6,10] km"
S02001576,S02001609,14,0,0,2,8,0,3,1,0,11711.496214112594,"(10,15] km"
S02001576,S02001611,11,0,0,3,5,1,1,0,1,12211.672542906526,"(10,15] km"
S02001576,S02001612,10,0,0,3,6,1,0,0,0,11604.087835804054,"(10,15] km"
S02001576,S02001613,18,0,0,5,11,1,1,0,0,11644.584560527544,"(10,15] km"
S02001576,S02001615,22,0,0,4,17,0,1,0,0,10085.053263501968,"(10,15] km"
S02001576,S02001616,33,0,0,4,26,1,1,0,1,10048.352723850272,"(10,15] km"
S02001576,S02001619,20,0,0,8,10,0,1,1,0,10331.41973581834,"(10,15] km"
S02001576,S02001620,101,0,0,56,35,4,4,1,1,11247.495954830954,"(10,15] km"
S02001576,S02001621,27,0,0,4,17,1,5,0,0,12107.044737173386,"(10,15] km"
S02001576,S02001622,107,0,10,64,19,2,6,3,3,12217.78678630989,"(10,15] km"
S02001576,S02001627,34,0,0,2,31,1,0,0,0,13642.21625547638,"(10,15] km"
S02001576,S02001632,13,0,0,0,11,0,0,0,2,16333.09653553403,"(15,20] km"
S02001576,S02001640,13,0,0,3,9,0,0,0,1,15132.398191668422,"(15,20] km"
S02001576,S02001647,11,0,0,7,3,0,0,0,1,13522.05242275636,"(10,15] km"
S02001576,S02001655,20,0,1,11,7,0,1,0,0,12999.95430540952,"(10,15] km"
S02001576,S02001656,44,0,1,21,17,0,3,1,1,12224.010496323883,"(10,15] km"
S02001576,S02001657,14,0,0,5,6,0,2,1,0,12506.132146299022,"(10,15] km"
S02001576,S02001658,11,0,0,7,1,2,0,1,0,11924.430512601604,"(10,15] km"
S02001576,S02001659,10,0,0,2,8,0,0,0,0,11568.882139193855,"(10,15] km"
S02001576,S02001660,105,0,3,47,44,2,3,2,4,10798.647985424308,"(10,15] km"
S02001576,S02001661,11,0,0,0,10,0,1,0,0,8749.741180566767,"(6,10] km"
S02001576,S02001662,12,0,0,1,10,0,1,0,0,9966.183885509205,"(6,10] km"
S02001576,S02001663,45,0,0,5,33,1,5,0,1,11110.661004087662,"(10,15] km"
S02001576,S02001667,16,0,0,2,10,0,2,0,2,12776.1069651537,"(10,15] km"
S02001576,S02001679,23,0,0,0,19,1,2,1,0,7606.463360026577,"(6,10] km"
S02001576,S02001682,159,0,0,10,132,7,6,2,2,6688.644443477849,"(6,10] km"
S02001576,S02001683,64,0,0,4,56,1,1,0,2,5175.836587915161,"(3,6] km"
S02001576,S02001684,35,0,0,0,33,2,0,0,0,9068.794274195403,"(6,10] km"
S02001577,S02001576,20,0,0,3,12,2,0,3,0,2399.8586349932266,"(1,3] km"
S02001577,S02001577,195,0,1,18,46,8,3,118,1,0,"[0,1] km"
S02001577,S02001578,35,0,0,0,10,2,1,22,0,1039.0800075921125,"(1,3] km"
S02001577,S02001579,14,0,0,2,8,1,2,1,0,2289.637564193879,"(1,3] km"
S02001577,S02001581,11,0,0,0,10,0,0,1,0,4458.0906385153885,"(3,6] km"
S02001577,S02001584,16,0,1,2,9,1,3,0,0,3512.815367487974,"(3,6] km"
S02001577,S02001586,39,0,0,2,34,1,1,1,0,4098.486039887325,"(3,6] km"
S02001577,S02001589,16,0,0,5,11,0,0,0,0,6162.757306617955,"(6,10] km"
S02001577,S02001591,17,0,0,5,11,0,1,0,0,7593.819155447678,"(6,10] km"
S02001577,S02001593,11,0,0,3,6,0,0,2,0,5567.652067671386,"(3,6] km"
S02001577,S02001609,14,0,0,0,11,1,0,2,0,9471.148341899696,"(6,10] km"
S02001577,S02001611,16,0,1,3,9,2,0,0,1,9900.737311898993,"(6,10] km"
S02001577,S02001613,11,0,0,3,7,0,1,0,0,9318.682547316308,"(6,10] km"
S02001577,S02001615,17,0,0,2,13,1,0,1,0,7789.072556555201,"(6,10] km"
S02001577,S02001616,27,0,0,12,14,0,0,1,0,7693.901118435637,"(6,10] km"
S02001577,S02001619,12,0,0,6,4,1,0,0,1,7940.337609287614,"(6,10] km"
S02001577,S02001620,50,0,1,33,12,0,3,1,0,8868.227293931011,"(6,10] km"
S02001577,S02001621,18,0,0,9,3,2,1,3,0,9771.708674858395,"(6,10] km"
S02001577,S02001622,70,0,11,43,11,2,2,0,1,9848.218236792778,"(6,10] km"
S02001577,S02001623,17,0,0,5,8,2,0,2,0,10147.54378961042,"(10,15] km"
S02001577,S02001627,11,0,0,3,6,2,0,0,0,11447.14937805742,"(10,15] km"
S02001577,S02001640,12,0,0,4,6,0,2,0,0,12742.669969053728,"(10,15] km"
S02001577,S02001656,20,0,1,14,1,1,3,0,0,9826.005586904601,"(6,10] km"
S02001577,S02001660,60,0,7,35,16,1,0,1,0,8400.904948480018,"(6,10] km"
S02001577,S02001662,11,0,0,2,9,0,0,0,0,7577.993895643577,"(6,10] km"
S02001577,S02001663,29,0,0,5,21,0,1,0,2,8732.207637994088,"(6,10] km"
S02001577,S02001667,10,0,0,3,7,0,0,0,0,10409.959594705348,"(10,15] km"
S02001577,S02001670,10,0,0,3,5,2,0,0,0,9565.315452965744,"(6,10] km"
S02001577,S02001679,11,0,0,3,7,0,1,0,0,5355.853156669466,"(3,6] km"
S02001577,S02001682,147,0,0,11,109,12,10,4,1,4483.358471019901,"(3,6] km"
S02001577,S02001683,42,0,0,3,34,1,2,1,1,4872.270965289767,"(3,6] km"
S02001578,S02001576,17,0,0,4,12,0,1,0,0,3429.4735545859326,"(3,6] km"
S02001578,S02001577,111,0,0,5,49,12,2,42,1,1039.0800075921125,"(1,3] km"
S02001578,S02001578,31,0,0,1,10,0,0,20,0,0,"[0,1] km"
S02001578,S02001579,17,0,0,0,5,0,1,11,0,1254.1371659311899,"(1,3] km"
S02001578,S02001580,13,0,0,0,11,1,0,1,0,2671.8332592253846,"(1,3] km"
S02001578,S02001584,16,0,0,1,10,3,1,1,0,2486.0648854374645,"(1,3] km"
S02001578,S02001586,37,0,0,2,25,2,3,5,0,3143.8392506099635,"(3,6] km"
S02001578,S02001589,13,0,0,0,10,2,0,0,1,5124.939448998653,"(3,6] km"
S02001578,S02001593,17,0,0,5,11,0,0,1,0,4535.412468731531,"(3,6] km"
