n_segment_cells,min_flow,max_to_route,routing_date,time_total_mins,time_r_commute_mins
3050928,1,10000,2023-12-31,NA,NA
525264,1,250,2023-12-31,NA,NA
525264,1,250,2023-12-31,NA,NA
532896,1,250,2023-12-31,NA,NA
533856,1,250,2023-12-31,NA,NA
533856,1,250,2023-12-31,NA,NA
538944,1,250,2023-11-30,NA,NA
91611,1,500,2023-10-31,NA,NA
91611,1,500,2023-10-31,NA,NA
91611,1,200,2023-10-31,NA,NA
91611,1,200,2023-10-31,NA,NA
91611,1,200,2023-10-31,NA,NA
91611,1,200,2023-10-31,NA,NA
21986445,1,100000000000,2023-10-07,NA,NA
3350802,1,1000000,2023-10-07,NA,NA
93522,1,200,2023-10-07,NA,NA
93639,1,200,2023-10-07,8.92,0
21913827,1,1000000000,2023-09-01,1605.3,0
21913827,1,1000000000,2023-09-01,1605.93,0
21913827,1,1000000000,2023-09-01,1562.68,0
326118,1,250,2023-09-01,947.52,0
330954,1,250,2023-09-01,947.01,0
456348,1,250,2023-08-01,947.18,0
454614,1,250,2023-08-01,939.33,0
27866706,1,1000000000,2023-08-01,1077.45,0
459204,1,250,2023-08-01,9.55,0
465222,1,250,2023-08-05,8.7,4.01
3504924,1,25000,2023-08-05,93.04,56.95
466089,1,250,2023-08-05,8.21,4.01
14334315,1,25000,2023-08-01,17.88,0.21
280296,1,250,2023-08-05,45.73,22.79
357765,1,250,2023-08-01,19.4,5.66
140697,1,1000000,2023-07-01,23.19,5.63
9817119,1,250,2023-07-01,62.68,1.18
145233,1,250,2023-07-01,18.93,8.7
185760,1,250,2023-07-01,0.96,0
185760,1,250,2023-07-01,11.22,5.56
1896129,1,5000,2023-07-01,57.48,29.49
1924536,1,5000,2023-07-01,57.5,29.49
1297695,1,5000,2023-07-01,57.24,29.49
1593783,1,10000,2023-07-01,13.49,0.96
1565541,1,10000,2023-07-01,98.59,47.66
440802,1,10000000,2023-07-01,5.61,0.01
9817119,1,10000000,2023-07-01,638.27,425.64
9812880,1,10000000,2023-07-01,884.57,537.32
228474,1,250,2023-07-01,7.55,4.06
2290059,1,3000,2023-07-01,120.15,80.44
1474092,1,1000000000,2023-07-01,185.77,109.35
1474092,1,1000000000,2023-07-01,186.68,109.35
542376,1,1000,2023-07-01,34,19.19
1374570,1,10000000,2023-07-03,435.67,428.09
1375785,1,10000000,2023-06-01,134.3,78.66
10206,199,20,2023-06-01,8.54,0
7550604,1,Inf,2023-06-01,1276.25,534.53
9045,199,20,2023-06-01,16.52,3.79
1324161,199,9999,2023-06-01,71.06,30.41
1108890,199,9999,2023-06-01,70.82,30.41
1108890,199,9999,2023-06-01,71.4,30.41
643940,199,9999,2023-06-01,65.48,30.41
221419,199,2000,2023-06-01,42.28,15.85
2464,299,20,2023-06-01,7.75,4.04
