nrow,plan,purpose,region,date,id
93539,ebike,utility,SPT,2025-05-01,12944
93539,quietest,utility,SPT,2025-05-01,12943
93539,balanced,utility,SPT,2025-05-01,12942
93539,fastest,utility,SPT,2025-05-01,12939
219054,balanced,commute,SPT,2025-05-01,12938
219054,ebike,commute,SPT,2025-05-01,12937
219054,quietest,commute,SPT,2025-05-01,12936
219054,fastest,commute,SPT,2025-05-01,12935
29062,ebike,school,SPT,2025-05-01,12934
29062,balanced,school,SPT,2025-05-01,12933
29062,quietest,school,SPT,2025-05-01,12932
29062,fastest,school,SPT,2025-05-01,12931
18488,ebike,utility,HITRANS,2025-05-01,12930
18488,quietest,utility,HITRANS,2025-05-01,12929
18488,balanced,utility,HITRANS,2025-05-01,12928
18488,fastest,utility,HITRANS,2025-05-01,12927
10753,balanced,commute,HITRANS,2025-05-01,12926
10753,ebike,commute,HITRANS,2025-05-01,12925
10753,quietest,commute,HITRANS,2025-05-01,12924
10753,fastest,commute,HITRANS,2025-05-01,12923
3817,ebike,school,HITRANS,2025-05-01,12922
3817,balanced,school,HITRANS,2025-05-01,12921
3817,quietest,school,HITRANS,2025-05-01,12920
3817,fastest,school,HITRANS,2025-05-01,12919
200912,ebike,utility,SESTRAN,2025-05-01,12918
200912,quietest,utility,SESTRAN,2025-05-01,12917
200912,balanced,utility,SESTRAN,2025-05-01,12916
200912,fastest,utility,SESTRAN,2025-05-01,12915
133224,balanced,commute,SESTRAN,2025-05-01,12914
133224,ebike,commute,SESTRAN,2025-05-01,12913
133224,quietest,commute,SESTRAN,2025-05-01,12912
133224,fastest,commute,SESTRAN,2025-05-01,12911
17566,ebike,school,SESTRAN,2025-05-01,12910
17566,balanced,school,SESTRAN,2025-05-01,12909
17566,quietest,school,SESTRAN,2025-05-01,12908
17566,fastest,school,SESTRAN,2025-05-01,12907
20991,ebike,utility,Tactran,2025-05-01,12906
20991,quietest,utility,Tactran,2025-05-01,12905
20991,balanced,utility,Tactran,2025-05-01,12904
20991,fastest,utility,Tactran,2025-05-01,12903
24898,balanced,commute,Tactran,2025-05-01,12902
24898,ebike,commute,Tactran,2025-05-01,12901
24898,quietest,commute,Tactran,2025-05-01,12900
24898,fastest,commute,Tactran,2025-05-01,12899
6054,ebike,school,Tactran,2025-05-01,12898
6054,balanced,school,Tactran,2025-05-01,12897
6054,quietest,school,Tactran,2025-05-01,12896
6054,fastest,school,Tactran,2025-05-01,12895
5401,ebike,utility,SWESTRANS,2025-05-01,12894
5401,quietest,utility,SWESTRANS,2025-05-01,12893
5401,balanced,utility,SWESTRANS,2025-05-01,12892
5401,fastest,utility,SWESTRANS,2025-05-01,12891
4132,balanced,commute,SWESTRANS,2025-05-01,12890
4132,ebike,commute,SWESTRANS,2025-05-01,12889
4132,quietest,commute,SWESTRANS,2025-05-01,12888
4132,fastest,commute,SWESTRANS,2025-05-01,12887
987,ebike,school,SWESTRANS,2025-05-01,12886
987,balanced,school,SWESTRANS,2025-05-01,12885
987,quietest,school,SWESTRANS,2025-05-01,12884
987,fastest,school,SWESTRANS,2025-05-01,12883
583,ebike,utility,ZetTrans,2025-05-01,12882
583,quietest,utility,ZetTrans,2025-05-01,12881
583,balanced,utility,ZetTrans,2025-05-01,12880
